VictimName,Country,Event,Date,Type,EventDescription,PersonDescription,EventCount,Kind,Astronaut,Source,Source2,Source3,
Albert I,USA,Blossom No. 2,21 March 1949,Rhesus Macaque,"The Blossom series of missions launched the first animals into space aboard V-2 rockets as part of the broader Hermes program to adopt this vehicle (and weapon) acquired from the defeated Nazi Germany.  Blossom No. 2 featured the first mammal to fly aboard an American rocket, a rhesus macaque named Albert I (Blossom No. 1 contained fruit flies and successfully recovered them).  The rocket reached an apogee of 62 km after a premature burnout and a failure in the parachute bulkhead caused Albert I's capsule to impact the ground with lethal force.","Albert I, a 9 pound rhesus macaque, was anesthetized by Dr. James Henry with between 10 and 15 mg of sodium pentobarbital 45 minutes before launch and punctured with electrode needles of an electrocardiogram.  Army Air Corps Major David Simons decided anesthesia was necessary to prevent him experiencing discomfort in the cramped capsule (and possible pain in case the capsule had a rough landing).  2 cc's of luminal, a long-acting barbituate, were also administered immediately before the flight as a further safeguard.  Major Simons noted that the capsule, essentially a metal tube, was so tight that 'his head had to be placed in a cramped, forward position with his neck acutely flexed'.||After sealing the capsule, researchers were unable to get a cardiac or respiratory reading and were unsure whether Albert I had died of suffocation or the measuring equipment was faulty.  Nonetheless, the launch proceeded and the capsule's parachute failed.  A flight recorder showed no evidence of physiological activity during the flight, so it was determined that Albert I was likely smothered by his tight capsule before launch (likely further complicated by overheating).  Even if he had survived his cramped conditions, however, the parachute failure would have guaranteed his death regardless.",1,monkey,y,,,,
Albert II,USA,Blossom No. 4,14 June 1949,Rhesus Macaque,"Blossom No. 4 was the second V-2 flight to carry a mammal, another rhesus macaque named Albert II.  The rocket performed well, reaching an apogee of 133 km and making Albert II the first mammal to cross the Karman Line at 100 km and enter outer space.  Unfortunately, the recovery parachute failed and Albert II was killed on impact with the ground.","Albert II, a 6 pound rhesus monkey, was chosen because it was thought his smaller size than Albert I would give him a higher likelihood of avoiding being smothered in his tight capsule (which was itself made 1 inch wider than Albert I's capsule at 13 inches vs 12 inches, respectively).  Albert II was anesthetized before launch similar to Albert I and improved instrumentation meant that his cardiac and respiratory activity could be verified.  The capsule was surrounded with dry ice to keep it cool and prevent him from overheating, which was thought to contribute to Albert I's death.||Albert II's vitals were successfully recorded throughout the flight and showed no change in microgravity.  Unfortunately, a parachute failure resulted in the capsule impacting the ground hard enough to create a 5 foot deep, 10 foot diameter crater, killing him instantly. ",1,monkey,y,,,,
Unnamed Mouse,USA,Blossom No. 7,31 August 1950,Mouse,"The fifth and flight of an animal aboard an American V-2 rocket.  The rocket had a nominal flight, making it to an apogee of 136 km, but its recovery parachute failed and the mouse was killed on impact.","The mouse that flew aboard Blossom No. 7 was held in a transparent plexiglass container.  The floor of the container was made of a metal wire screen to give them something to grip onto.  They weren't restrained or anesthetized so that their reaction to the rocket's acceleration and microgravity could be filmed with a camera designed at the Wright Air Development Center's Technical Photographic Laboratory.  The resulting video recording showed the mouse relatively unbothered by the flight.  In microgravity, the mouse showed no preference for any particular orientation.||Like their unfortunate forerunners, the mouse was killed after their recovery parachute failed and they impacted the ground.",1,mouse,y,,,,
Laika,USSR,Sputnik 2,3 November 1957,Dog,"Sputnik 2 ( Russian: Спутник-2, Satellite 2) was the second spacecraft to orbit the Earth and carried the first animal into orbit, a dog named Laika.  The spacecraft lacked a recovery system, leaving Laika no means to return home.  The mission designers decided that monitoring the vitals of a mammal in orbit was worth the animal's guaranteed death.  She died only hours into the flight after the capsule's thermal control system failed.  ","Laika (Russian: Лайка, meaning 'barker') was a stray dog taken from the streets of Moscow and trained to reside in the interior of Sputnik 2, becoming the first animal to orbit the Earth.  At the time of her famous mission she was thought to be about 3 years old and weighed only 5 kg.||The Soviet space program rushed to determine the health effects of orbit to determine if they could place a human in space before the United States.  As part of this rush, Sputnik 2 contained no recovery system.  While many animals had already died in spaceflight accidents up to this point, Laika was the first animal to be sealed in a spacecraft with no chance of survival.  The plan was to have her eat poisoned food before she ran out of oxygen, but the capsule's temperature control system cut the intended medical monitoring short.  Alone, afraid, and panting frantically, Laika died of hyperthermia only hours into the flight, on the spacecraft's fourth orbit.  ||Prior to her launch, program physician Vladimir Yazdovsky took Laika to his home so she could play with his children.  He said 'Laika was quiet and charming... I wanted to do something nice for her.  She had so little time left to live.'||In 1998, the Soviet air force officer that trained Laika for her doomed mission, Oleg Gazenko, said this:  ||'Work with animals is a source of suffering to all of us. We treat them like babies who cannot speak. The more time passes, the more I’m sorry about it. We shouldn’t have done it. We did not learn enough from the mission to justify the death of the dog.'",1,dog,y,,,,
Albert III,USA,Blossom No. 5,16 September 1949,Rhesus Macaque,"The third flight of an animal aboard an American V-2 rocket.  25 seconds into the flight, the tail of the rocket exploded and after another 14 seconds  there was a second explosion that destroyed the rest of the rocket and killed Albert III, a Rhesus Macaque monkey, at an altitude of 4 km.","After Albert III's V-2 rocket exploded, a post-flight investigation found that there had been a large hole in its fuel system that had gone unnoticed prior to launch.  Unfortunately, even if this issue had been caught and resolved, it seems unlikely that he would have survived the recovery attempt.  Every other flight of a monkey aboard a V-2 ended in a parachute failure.",1,monkey,y,,,,
Albert IV,USA,Blossom No. 6,8 December 1949,Crab-eating Macaque,"The fourth flight of a monkey aboard an American V-2 rocket.  The vehicle performed nominally and attained an apogee of 130 km, but the recovery parachute failed.  Its occupant, a crab-eating macaque named Albert IV, died upon impacting the ground.","Like Albert I and Albert II, Albert IV was killed when his recovery parachute failed and he impacted the ground.  His vitals were successfully transmitted prior to his death and they showed no significant disturbance in response to the rocket's acceleration or his brief experience of microgravity, building the Air Force's confidence that a human could survive spaceflight.||Albert IV was a crab-eating macaque unlike the Alberts who preceded him who were all rhesus macaques.",1,monkey,y,,,,
Yorick,USA,Aerobee-19,20 September 1951,Rhesus Macaque,"The second and final flight of animals aboard an Aerobee rocket, containing Yorick the Rhesus Macaque and 11 mice.  The flight itself, dubbed the 'Arkful of Animals', was a success, reaching an apogee of 72 km, and exposing its occupants to microgravity.  Unfortunately, even though the capsule safely parachuted back to the ground, recovery was too slow to save Yorick and two of the mice.  They died from hyperthermia from the capsule baking in the desert sun.","Yorick the rhesus macaque, also called Albert VI, quickly fell ill with heat sickness after his capsule landed as it baked in the sun due to the recovery team being delayed.  Despite the efforts of medical personnel, he died in a Medical Corps station wagon en route to the air force base's hospital from a combination of hyperthermia and shock only two hours after landing.",3,monkey,y,,,,
two unnamed mice,USA,Aerobee-19,20 September 1951,Mouse,"The second and final flight of animals aboard an Aerobee rocket, containing Yorick the Rhesus Macaque and 11 mice.  While the flight itself was a success and the capsule safely parachuted back to the ground, recovery was too slow to save Yorick and two of the mice, who died from hyperthermia as the capsule baked in the desert sun.","Of the 11 mice flying aboard Aerobee-19, 9 were held in a chamber to evaluate their exposure to cosmic rays in the upper atmosphere.  The remaining two were placed in a divided plexiglass drum and filmed to see their reactions to microgravity.  Prior to launch, one of those two mice had the labyrinths of their inner ears intentionally damaged in order to disable their vestibular sense.||Two of these 11 mice died from hyperthermia in the capsule after landing as it baked in the sun.  The mouse with the damaged inner ear is known to have survived.  The specific identities of the martyred mice are unknown.",3,mouse,y,,,,
Albert V,USA,Aerobee-12,18 April 1951,Capuchin Monkey,"The Aerobee rocket was developed to be less expensive than the V-2, the supply of which was rapidly dwindling, and could reach an apogee of 230 km without a payload.  Aerobee-12 was the first flight of a space-capable rocket of original American design to carry an animal, Albert V, a capuchin monkey, and several mice.  This flight from Holloman Air Force Base reached an apogee of 58 km, over halfway to space, before Albert V's capsule suffered yet another parachute failure, killing him and the mice on impact with the ground.","Albert V, a capuchin monkey, was placed in a small capsule fitted into the nosecone of the Aerobee rocket.  After launch, elemetry from the rocket showed that he survived the acceleration and didn't seem harmed by his brief exposure to microgravity around the rocket's apogee.  During descent, his capsule's parachute failed and crashed in the desert near Holloman Air Force Base.  The capsule was never found despite an extensive search and he was presumed dead from the impact.",2,monkey,y,,,,
several unnamed mice,USA,Aerobee-12,18 April 1951,Mouse,"The Aerobee rocket was developed to be less expensive than the V-2, the supply of which was rapidly dwindling, and could reach an apogee of 230 km without a payload.  Aerobee-12 was the first flight of a space-capable rocket of original American design to carry an animal, Albert V, a capuchin monkey, and several mice.  This flight from Holloman Air Force Base reached an apogee of 58 km, over halfway to space, before Albert V's capsule suffered yet another parachute failure, killing him and the mice on impact with the ground.",,2,mouse,,,,,
